Text,Translation,Tag
"peace, Irene (name)",ειρήνη,Abstract concept
"safety, insurance, security",ασφάλεια,Abstract concept
"opinion, notion",γνώμη,Abstract concept
"calm, peace and quiet, peace",ηρεμία,Abstract concept
war,πόλεμος,Abstract concept
"silence, quiet, hush",ησυχία,Abstract concept
quality,ποιότητα,Abstract concept
justice,δικαιοσύνη,Abstract concept
noise,θόρυβος,Abstract concept
"blame, responsibility, obligation",ευθύνη,Abstract concept
"action, act",δράση,Abstract concept
space,διάστημα,Abstract concept
"humor, spirit, Spirit",πνεύμα,Abstract concept
"thought, consideration, reflecting",σκέψη,Abstract concept
"impact, effect",επίπτωση,Abstract concept
"gratification, pleasure",ευχαρίστηση,Abstract concept
surprise,έκπληξη,Abstract concept
fear,φόβος,Abstract concept
"memory, remembrance, any memory",μνήμη,Abstract concept
"a possibility, a probability, chance",πιθανότητα,Abstract concept
"shadow, shade",σκιά,Abstract concept
"strength, force, power",δύναμη,Abstract concept
"lust, desire, craving",πόθος,Abstract concept
"doubt, doubts",αμφιβολία,Abstract concept
"signature, subscription, a signature",υπογραφή,Abstract concept
"position, spot, seat",θέση,Abstract concept
secret,μυστικό,Abstract concept
exit,έξοδος,Abstract concept
humour,χιούμορ,Abstract concept
origin,προέλευση,Abstract concept
"code, cue, catchword",σύνθημα,Abstract concept
"attitude, conduct, behavior / behaviour",συμπεριφορά,Abstract concept
"purpose, aim, guard",σκοπός,Abstract concept
reality,πραγματικότητα,Abstract concept
"interest, interesting, interested",ενδιαφέρον,Abstract concept
"damage, injury, harm",ζημιά,Abstract concept
"respect, respecting",σεβασμός,Abstract concept
"profit, to be gained, advantage",όφελος,Abstract concept
"try, attempt, effort",προσπάθεια,Abstract concept
"condition, case, situation",κατάσταση,Abstract concept
luxury,πολυτελής,Abstract concept
"way, a way",τρόπος,Abstract concept
subject,υποκείμενο,Abstract concept
"end, edge, side",άκρη,Abstract concept
"darkness, dark",σκοτάδι,Abstract concept
change,αλλαγή,Abstract concept
"receipt, proof, evidence",απόδειξη,Abstract concept
"rest, relaxation",ξεκούραση,Abstract concept
"attention, pay attention to",προσοχή,Abstract concept
"courtesy, politeness, civility",ευγένεια,Abstract concept
"adornment, decoration, grooming",καλλωπισμός,Abstract concept
"chance, occasion, opportunity",ευκαιρία,Abstract concept
union,ένωση,Abstract concept
ignorance,άγνοια,Abstract concept
"construction, structure, building",κατασκευή,Abstract concept
(a) haircut,κούρεμα,Abstract concept
"price, charge, fee",χρέωση,Abstract concept
"entry, entrance, gateway",είσοδος,Abstract concept
"delivery, distribution, sharing",διανομή,Abstract concept
"success, gateway to success",επιτυχία,Abstract concept
"introduction, admission",εισαγωγή,Abstract concept
